Time,Action,Data
2017/01/31 15:01:41,Create,"{u'description': u'A game about making rules for strings', u'title': u'Strings game', u'url': u'https://longouyang.github.io/ppbe-rx-measure/preview.html', u'assignment_duration': u'30 minutes', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Strings, rules', u'auto_approval_delay': u'5 minutes', u'reward': 0.75}"
2017/01/31 15:05:49,Create,"{u'description': u'A game about making rules for strings', u'title': u'Strings game', u'url': u'https://longouyang.github.io/ppbe-rx-measure/preview.html', u'assignment_duration': u'30 minutes', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Strings, rules', u'auto_approval_delay': u'5 minutes', u'reward': 0.75}"
2017/01/31 22:51:16,Add,2 assignments
2017/02/01 06:04:52,Add,20 assignments
